GEO.id,INCOME.aggregate
8600000US03242,138484700
8600000US03243,30080200
8600000US03244,202783000
8600000US03245,62145100
8600000US03246,462839400
8600000US03249,261554000
8600000US03251,26530500
8600000US03253,242691800
8600000US03254,164733600
8600000US03255,70871000
8600000US03256,55615100
8600000US03257,160396100
8600000US03258,83735000
8600000US03259,10664200
8600000US03260,21270200
8600000US03261,145460000
8600000US03262,31062500
8600000US03263,98033200
8600000US03264,131816800
8600000US03266,58934000
8600000US03268,32810300
8600000US03269,98378200
8600000US03273,9709500
8600000US03275,326520200
8600000US03276,202591300
8600000US03278,93050100
8600000US03279,15324200
8600000US03280,32858800
8600000US03281,275727200
8600000US03282,18969900
8600000US03284,30728700
8600000US03285,60998500
8600000US03287,44687300
8600000US03290,169283400
8600000US03293,1723900
8600000US03301,1002437800
8600000US03303,419871500
8600000US03304,334731500
8600000US03307,158575900
8600000US03431,662279100
8600000US03440,72132100
8600000US03441,15707100
8600000US03442,38862600
8600000US03443,21875800
8600000US03444,51541300
8600000US03445,18653800
8600000US03446,187242000
8600000US03447,79039600
8600000US03448,14063600
8600000US03449,72183600
8600000US03450,34586100
8600000US03451,94692300
8600000US03452,164515700
8600000US03455,59923400
8600000US03456,22684700
8600000US03457,33499000
8600000US03458,249590000
8600000US03461,141976100
8600000US03462,76223600
8600000US03464,30029500
8600000US03465,54562500
8600000US03466,33802600
8600000US03467,61880900
8600000US03470,109492400
8600000US03561,155478400
8600000US03570,212653600
8600000US03574,65038000
8600000US03575,1193700
8600000US03576,75653300
8600000US03579,11685200
8600000US03580,48484700
8600000US03581,92629500
8600000US03582,52505700
8600000US03583,25786800
8600000US03584,93969600
8600000US03585,67292800
8600000US03586,23528000
8600000US03588,50018300
8600000US03590,20911300
8600000US03592,35632800
8600000US03593,15010400
8600000US03595,16571900
8600000US03597,6956800
8600000US03598,73070200
8600000US03601,11033800
8600000US03602,68362300
8600000US03603,128248100
8600000US03604,10914700
8600000US03605,28268600
8600000US03607,4783300
8600000US03608,59355100
8600000US03609,30477000
8600000US03740,17065900
8600000US03741,115848800
8600000US03743,319635800
8600000US03745,44410800
8600000US03746,6526600
8600000US03748,181339600
8600000US03750,52701300
8600000US03751,22505300
8600000US03752,22927500
8600000US03753,112710000
8600000US03754,
8600000US03755,295090600
8600000US03765,13036500
8600000US03766,299275500
8600000US03768,110062500
8600000US03770,18163700
8600000US03771,24226200
8600000US03773,187671500
8600000US03774,38627500
8600000US03777,45891700
8600000US03779,29612800
8600000US03780,7163900
8600000US03781,83801600
8600000US03782,120741400
8600000US03784,134383300
8600000US03785,54218000
8600000US03801,860113900
8600000US03809,103724000
8600000US03810,51831000
8600000US03811,266965900
8600000US03812,14895400
8600000US03813,88114600
8600000US03814,49022600
8600000US03816,36259800
8600000US03817,40101000
8600000US03818,87954700
8600000US03819,135664100
8600000US03820,915334000
8600000US03823,65629400
8600000US03824,348797400
8600000US03825,270239900
8600000US03826,91864300
8600000US03827,136761100
8600000US03830,31145100
8600000US03832,13771400
8600000US03833,799473100
8600000US03835,184196700
8600000US03836,32766600
8600000US03837,35689300
8600000US03838,44173400
8600000US03839,103499500
8600000US03840,192463400
8600000US03841,247956000
8600000US03842,606684200
8600000US03844,124022900
8600000US03845,24395000
8600000US03846,36007700
8600000US03847,9853300
8600000US03848,181379700
8600000US03849,45639900
8600000US03850,7987500
8600000US03851,136400400
8600000US03852,9490700
8600000US03853,37720900
8600000US03854,83627700
8600000US03855,83969000
8600000US03856,88213700
8600000US03857,287694200
8600000US03858,148185700
8600000US03860,102015600
8600000US03861,165434800
8600000US03862,247729600
8600000US03864,29813200
8600000US03865,239487000
8600000US03867,578608200
8600000US03868,142761300
8600000US03869,77588900
8600000US03870,286486100
8600000US03872,104648900
8600000US03873,181977300
8600000US03874,266292900
8600000US03875,32013800
8600000US03878,290470500
8600000US03882,26194000
8600000US03883,4640200
8600000US03884,127974900
8600000US03885,386749300
8600000US03886,42480300
8600000US03887,47647400
8600000US03890,3922500
8600000US03894,227970200
8600000US03901,182187300
8600000US03902,75553400
8600000US03903,246328000
8600000US03904,260726000
8600000US03905,43113300
8600000US03906,123736900
8600000US03907,44299100
8600000US03908,223029600
8600000US03909,385978000
8600000US03910,2543800
8600000US03911,5342200
8600000US04001,66272800
8600000US04002,190257700
8600000US04003,14353800
8600000US04005,575711200
8600000US04006,699600
8600000US04008,84565800
8600000US04009,114579200
8600000US04010,29849000
8600000US04011,583165500
8600000US04015,96296600
8600000US04017,11035500
8600000US04020,30203600
8600000US04021,284589700
8600000US04022,24849100
8600000US04024,13083900
8600000US04027,138284400
8600000US04029,42671300
8600000US04030,38735500
8600000US04032,291432800
8600000US04037,75264400
8600000US04038,481975100
8600000US04039,219200600
8600000US04040,85282600
8600000US04041,32823600
8600000US04042,108260700
8600000US04043,410645500
8600000US04046,265476900
8600000US04047,36051000
8600000US04048,64084200
8600000US04049,88494900
8600000US04050,7846200
8600000US04051,26487000
8600000US04055,92181600
8600000US04056,2529100
8600000US04057,
8600000US04061,81117600
8600000US04062,498958500
8600000US04063,6123600
8600000US04064,238761900
8600000US04066,19300600
8600000US04068,38510700
8600000US04069,40124700
8600000US04071,162100500
8600000US04072,509699700
8600000US04073,360848800
8600000US04074,767381400
8600000US04076,64143100
8600000US04079,128669300
8600000US04083,98373300
8600000US04084,208024400
8600000US04085,41994500
8600000US04086,263705700
8600000US04087,47650200
8600000US04088,35779300
8600000US04090,294300500
8600000US04091,22618900
8600000US04092,459977100
8600000US04093,227163100
8600000US04095,25772700
8600000US04096,379994800
8600000US04097,135153200
8600000US04101,402306500
8600000US04102,488759000
8600000US04103,941196900
8600000US04105,523953100
8600000US04106,735371600
8600000US04107,476360500
8600000US04108,37699900
8600000US04109,1688500
8600000US04110,112679400
8600000US04210,626173000
8600000US04216,7939200
8600000US04217,72655400
8600000US04219,29609000
8600000US04220,65240400
8600000US04221,21805500
8600000US04222,117927900
8600000US04224,64294300
8600000US04226,2973100
8600000US04227,1231300
8600000US04231,6930000
8600000US04234,1293800
8600000US04236,113580300
8600000US04237,2549200
8600000US04238,30339900
8600000US04239,107091800
8600000US04240,753733800
8600000US04250,87374300
8600000US04252,109412600
8600000US04253,49069700
8600000US04254,59667300
